mac,x,y,floor,ssid,frequency

730,440,7c:21:0d:2e:d4:40,eduroam,0,2
730,440,7c:21:0d:2e:d4:4f,eduroam,0,5
730,440,7c:21:0d:2e:d4:41,ut-public,0,2
730,440,7c:21:0d:2e:d4:4e,ut-public,0,5


2020,160,7c:21:0d:2f:56:80,eduroam,1,2
2020,160,7c:21:0d:2f:56:8f,eduroam,1,5
2020,160,7c:21:0d:2f:56:81,ut-public,1,2
2020,160,7c:21:0d:2f:56:8e,ut-public,1,5

2450,160,7c:21:0d:2f:1a:e0,eduroam,1,2
2450,160,7c:21:0d:2f:1a:ef,eduroam,1,5
2450,160,7c:21:0d:2f:1a:e1,ut-public,1,2
2450,160,7c:21:0d:2f:1a:ee,ut-public,1,5

2860,160,7c:21:0d:2f:11:e0,eduroam,1,2
2860,160,7c:21:0d:2f:11:ef,eduroam,1,5
2860,160,7c:21:0d:2f:11:e1,ut-public,1,2
2860,160,7c:21:0d:2f:11:ee,ut-public,1,5

3920,160,7c:21:0d:2f:39:00,eduroam,1,2
3920,160,7c:21:0d:2f:39:0f,eduroam,1,5
3920,160,7c:21:0d:2f:39:01,ut-public,1,2
3920,160,7c:21:0d:2f:39:0e,ut-public,1,5

3710,160,7c:21:0d:2e:5e:80,eduroam,1,2
3710,160,7c:21:0d:2e:5e:8f,eduroam,1,5
3710,160,7c:21:0d:2e:5e:81,ut-public,1,2
3710,160,7c:21:0d:2e:5e:8e,ut-public,1,5

4450,160,1c:d1:e0:42:4c:e0,eduroam,1,2
4450,160,1c:d1:e0:42:4c:ef,eduroam,1,5
4450,160,1c:d1:e0:42:4c:e1,ut-public,1,2
4450,160,1c:d1:e0:42:4c:ee,ut-public,1,5

4740,600,1c:d1:e0:3c:d5:e0,eduroam,1,2
4740,600,1c:d1:e0:3c:d5:ef,eduroam,1,5
4740,600,1c:d1:e0:3c:d5:e1,ut-public,1,2
4740,600,1c:d1:e0:3c:d5:ee,ut-public,1,5

3940,740,7c:21:0d:2f:49:e0,eduroam,1,2
3940,740,7c:21:0d:2f:49:ef,eduroam,1,5
3940,740,7c:21:0d:2f:49:e1,ut-public,1,2
3940,740,7c:21:0d:2f:49:ee,ut-public,1,5

3130,1120,7c:21:0d:2f:6e:20,eduroam,1,2
3130,1120,7c:21:0d:2f:6e:2f,eduroam,1,5
3130,1120,7c:21:0d:2f:6e:21,ut-public,1,2
3130,1120,7c:21:0d:2f:6e:2e,ut-public,1,5

2640,1140,7c:21:0d:2f:52:80,eduroam,1,2
2640,1140,7c:21:0d:2f:52:8f,eduroam,1,5
2640,1140,7c:21:0d:2f:52:81,ut-public,1,2
2640,1140,7c:21:0d:2f:52:8e,ut-public,1,5

2160,1000,7c:21:0d:2f:4c:a0,eduroam,1,2
2160,1000,7c:21:0d:2f:4c:af,eduroam,1,5
2160,1000,7c:21:0d:2f:4c:a1,ut-public,1,2
2160,1000,7c:21:0d:2f:4c:ae,ut-public,1,5

1180,820,7c:21:0d:2f:46:e0,eduroam,1,2
1180,820,7c:21:0d:2f:46:ef,eduroam,1,5
1180,820,7c:21:0d:2f:46:e1,ut-public,1,2
1180,820,7c:21:0d:2f:46:ee,ut-public,1,5

1020,1630,1c:d1:e0:3d:0b:a0,eduroam,1,2
1020,1630,1c:d1:e0:3d:0b:af,eduroam,1,5
1020,1630,1c:d1:e0:3d:0b:a1,ut-public,1,2
1020,1630,1c:d1:e0:3d:0b:ae,ut-public,1,5

870,2200,1c:d1:e0:43:3a:20,eduroam,1,2
870,2200,1c:d1:e0:43:3a:2f,eduroam,1,5
870,2200,1c:d1:e0:43:3a:21,ut-public,1,2
870,2200,1c:d1:e0:43:3a:2e,ut-public,1,5

620,3100,1c:d1:e0:3d:82:20,eduroam,1,2
620,3100,1c:d1:e0:3d:82:2f,eduroam,1,5
620,3100,1c:d1:e0:3d:82:21,ut-public,1,2
620,3100,1c:d1:e0:3d:82:2e,ut-public,1,5

460,2500,1c:d1:e0:3d:38:a0,eduroam,1,2
460,2500,1c:d1:e0:3d:38:af,eduroam,1,5
460,2500,1c:d1:e0:3d:38:a1,ut-public,1,2
460,2500,1c:d1:e0:3d:38:ae,ut-public,1,5

730,1200,7c:21:0d:2e:d5:20,eduroam,1,2
730,1200,7c:21:0d:2e:d5:2f,eduroam,1,5
730,1200,7c:21:0d:2e:d5:21,ut-public,1,2
730,1200,7c:21:0d:2e:d5:2e,ut-public,1,5

30,550,7c:21:0d:2f:53:80,eduroam,1,2
30,550,7c:21:0d:2f:53:8f,eduroam,1,5
30,550,7c:21:0d:2f:53:81,ut-public,1,2
30,550,7c:21:0d:2f:53:8e,ut-public,1,5


1750,400,7c:21:0d:2f:4f:00,eduroam,2,2
1750,400,7c:21:0d:2f:4f:0f,eduroam,2,5
1750,400,7c:21:0d:2f:4f:01,ut-public,2,2
1750,400,7c:21:0d:2f:4f:0e,ut-public,2,5

2660,500,7c:21:0d:2f:17:e0,eduroam,2,2
2660,500,7c:21:0d:2f:17:ef,eduroam,2,5
2660,500,7c:21:0d:2f:17:e1,ut-public,2,2
2660,500,7c:21:0d:2f:17:ee,ut-public,2,5

3450,350,1c:d1:e0:45:06:c0,eduroam,2,2
3450,350,1c:d1:e0:45:06:cf,eduroam,2,5
3450,350,1c:d1:e0:45:06:c1,ut-public,2,2
3450,350,1c:d1:e0:45:06:ce,ut-public,2,5

4430,530,7c:21:0d:2e:4d:a0,eduroam,2,2
4430,530,7c:21:0d:2e:4d:af,eduroam,2,5
4430,530,7c:21:0d:2e:4d:a1,ut-public,2,2
4430,530,7c:21:0d:2e:4d:ae,ut-public,2,5

4120,900,1c:d1:e0:3d:3c:20,eduroam,2,2
4120,900,1c:d1:e0:3d:3c:2f,eduroam,2,5
4120,900,1c:d1:e0:3d:3c:21,ut-public,2,2
4120,900,1c:d1:e0:3d:3c:2e,ut-public,2,5

3380,860,7c:21:0d:2f:1e:a0,eduroam,2,2
3380,860,7c:21:0d:2f:1e:af,eduroam,2,5
3380,860,7c:21:0d:2f:1e:a1,ut-public,2,2
3380,860,7c:21:0d:2f:1e:ae,ut-public,2,5

2920,940,7c:21:0d:2f:33:80,eduroam,2,2
2920,940,7c:21:0d:2f:33:8f,eduroam,2,5
2920,940,7c:21:0d:2f:33:81,ut-public,2,2
2920,940,7c:21:0d:2f:33:8e,ut-public,2,5

2780,1000,5c:71:0d:4c:26:80,eduroam,2,2
2780,1000,5c:71:0d:4c:26:8f,eduroam,2,5
2780,1000,5c:71:0d:4c:26:81,ut-public,2,2
2780,1000,5c:71:0d:4c:26:8e,ut-public,2,5

1900,860,1c:d1:e0:3d:4a:80,eduroam,2,2
1900,860,1c:d1:e0:3d:4a:8f,eduroam,2,5
1900,860,1c:d1:e0:3d:4a:81,ut-public,2,2
1900,860,1c:d1:e0:3d:4a:8e,ut-public,2,5

1140,900,7c:21:0d:2f:75:20,eduroam,2,2
1140,900,7c:21:0d:2f:75:2f,eduroam,2,5
1140,900,7c:21:0d:2f:75:21,ut-public,2,2
1140,900,7c:21:0d:2f:75:2e,ut-public,2,5

40,1690,7c:21:0d:2f:73:a0,eduroam,2,2
40,1690,7c:21:0d:2f:73:af,eduroam,2,5
40,1690,7c:21:0d:2f:73:a1,ut-public,2,2
40,1690,7c:21:0d:2f:73:ae,ut-public,2,5

460,1110,7c:21:0d:2e:e5:20,eduroam,2,2
460,1110,7c:21:0d:2e:e5:2f,eduroam,2,5
460,1110,7c:21:0d:2e:e5:21,ut-public,2,2
460,1110,7c:21:0d:2e:e5:2e,ut-public,2,5

400,340,7c:21:0d:2e:da:40,eduroam,2,2
400,340,7c:21:0d:2e:da:4f,eduroam,2,5
400,340,7c:21:0d:2e:da:41,ut-public,2,2
400,340,7c:21:0d:2e:da:4e,ut-public,2,5

980,2040,7c:21:0d:2f:54:60,eduroam,2,2
980,2040,7c:21:0d:2f:54:6f,eduroam,2,5
980,2040,7c:21:0d:2f:54:61,ut-public,2,2
980,2040,7c:21:0d:2f:54:6e,ut-public,2,5

940,3080,7c:21:0d:2f:10:40,eduroam,2,2
940,3080,7c:21:0d:2f:10:4f,eduroam,2,5
940,3080,7c:21:0d:2f:10:41,ut-public,2,2
940,3080,7c:21:0d:2f:10:4e,ut-public,2,5

280,2760,1c:d1:e0:44:97:e0,eduroam,2,2
280,2760,1c:d1:e0:44:97:ef,eduroam,2,5
280,2760,1c:d1:e0:44:97:e1,ut-public,2,2
280,2760,1c:d1:e0:44:97:ee,ut-public,2,5

270,3740,1c:d1:e0:3f:16:40,eduroam,2,2
270,3740,1c:d1:e0:3f:16:4f,eduroam,2,5
270,3740,1c:d1:e0:3f:16:41,ut-public,2,2
270,3740,1c:d1:e0:3f:16:4e,ut-public,2,5

380,4240,1c:d1:e0:44:97:c0,eduroam,2,2
380,4240,1c:d1:e0:44:97:cf,eduroam,2,5
380,4240,1c:d1:e0:44:97:c1,ut-public,2,2
380,4240,1c:d1:e0:44:97:ce,ut-public,2,5

130,4810,1c:d1:e0:3c:fb:a0,eduroam,2,2
130,4810,1c:d1:e0:3c:fb:af,eduroam,2,5
130,4810,1c:d1:e0:3c:fb:a1,ut-public,2,2
130,4810,1c:d1:e0:3c:fb:ae,ut-public,2,5


1480,320,1c:d1:e0:42:7d:a0,eduroam,3,2
1480,320,1c:d1:e0:42:7d:af,eduroam,3,5
1480,320,1c:d1:e0:42:7d:a1,ut-public,3,2
1480,320,1c:d1:e0:42:7d:ae,ut-public,3,5

3470,1070,1c:d1:e0:3f:98:c0,eduroam,3,2
3470,1070,1c:d1:e0:3f:98:cf,eduroam,3,5
